INITIAL,GENE NAME,NORMAL FUNCTION,HEALTH CONDITIONS RELATED TO GENETIC CHANGE
CUL3 ,cullin 3,"The CUL3 gene provides instructions for making a protein called cullin-3. This protein plays a role in the cell machinery that breaks down (degrades) unwanted proteins, called the ubiquitin-proteasome system.Cullin-3 is a core piece of a complex known as an E3 ubiquitin ligase. E3 ubiquitin ligases function as part of the ubiquitin-proteasome system by tagging damaged and excess proteins with molecules called ubiquitin. Ubiquitin serves as a signal to specialized cell structures known as proteasomes, which attach (bind) to the tagged proteins and degrade them. The ubiquitin-proteasome system acts as the cell's quality control system by disposing of damaged, misshapen, and excess proteins. This system also regulates the level of proteins involved in several critical cell activities such as the timing of cell division and growth.E3 ubiquitin ligases containing the cullin-3 protein tag proteins called WNK1 and WNK4 with ubiquitin. These proteins are involved in controlling blood pressure in the body. By regulating the amount of WNK1 and WNK4 available, cullin-3 plays a role in blood pressure control.","Pseudohypoaldosteronism type 2 At least 17 mutations in the CUL3 gene can cause pseudohypoaldosteronism type 2 (PHA2), a condition characterized by high blood pressure (hypertension) and high levels of potassium in the blood (hyperkalemia). These mutations lead to production of an abnormally short cullin-3 protein that is missing a region. Studies show that this change alters the function of the E3 ubiquitin ligase complex. The change leads to impaired degradation of the WNK4 protein, although the exact mechanism is unclear. The resulting excess of WNK4 protein disrupts normal control of blood pressure, causing hypertension and other features of PHA2. It is unknown if WNK1 is affected by the alterations to the E3 ubiquitin ligase or whether WNK1 plays a role in PHA2 caused by CUL3 gene mutations. "
CUL7 ,cullin 7,"The CUL7 gene provides instructions for making a protein called cullin-7. This protein plays a role in the ubiquitin-proteasome system, which is the cell machinery that breaks down (degrades) unwanted proteins.Cullin-7 helps assemble a complex known as an E3 ubiquitin ligase. This complex tags damaged and excess proteins with molecules called ubiquitin. Ubiquitin serves as a signal to specialized cell structures known as proteasomes, which attach (bind) to the tagged proteins and degrade them. The ubiquitin-proteasome system acts as the cell's quality control system by disposing of damaged, misshapen, and excess proteins. This system also regulates the level of proteins involved in several critical cell activities such as the timing of cell division and growth. In particular, cullin-7 is thought to help regulate proteins involved in the body's response to growth hormones, although its specific role in this process is unknown.","3-M syndrome At least 73 mutations in the CUL7 gene have been identified in people with 3-M syndrome, a disorder that causes skeletal anomalies including short stature (dwarfism) and unusual facial features. Most of these mutations substitute one protein building block (amino acid) for another amino acid in the cullin-7 protein or result in a cullin-7 protein that is abnormally short and nonfunctional.Individuals in the Yakut population of the Russian province of Siberia with a variant of 3-M syndrome all have a particular mutation in both copies of the CUL7 gene in each cell. This mutation replaces the amino acid glutamine with a premature stop signal in the instructions for making the cullin-7 protein (written as Gln1553Ter or Q1553X), leading to production of an abnormally short protein.Mutations in the CUL7 gene, including the Gln1553Ter mutation, prevent the cullin-7 protein from bringing together the components of the E3 ubiquitin ligase complex, interfering with the process of tagging unneeded proteins for degradation. The body's response to growth hormones may be impaired as a result. However, the specific relationship between CUL7 gene mutations and the signs and symptoms of 3-M syndrome are unknown. "
CXCR4 ,C-X-C motif chemokine receptor 4,"The CXCR4 gene provides instructions for making a receptor protein that spans the outer membrane of cells, specifically white blood cells and cells in the brain and spinal cord (central nervous system). Receptor proteins have specific sites into which certain other proteins, called ligands, fit like keys into locks. After attachment of its ligand, called SDF-1, the CXCR4 protein turns on (activates) signaling pathways inside the cell. These pathways help regulate cell growth and division (proliferation), the process by which cells mature to carry out specific functions (differentiation), and cell survival. Once signaling is stimulated, the CXCR4 protein is removed from the cell membrane (internalized) and broken down so it can no longer activate the signaling pathways.The CXCR4 receptor is also involved in the movement (migration) of cells. Cells that have the CXCR4 protein in their membrane are attracted to SDF-1. High levels of this ligand are found in the bone marrow, which helps certain blood cells migrate to and stay in the bone marrow until they are needed elsewhere in the body. Retention of early blood cells known as hematopoietic stem cells in the bone marrow is important to ensure that stem cells are available when needed. White blood cells also remain in the bone marrow until they are needed in the body to fight infection.","Waldenström macroglobulinemia Mutations in the CXCR4 gene are found in approximately 30 percent of people with Waldenström macroglobulinemia. This rare form of blood cancer is characterized by an excess of abnormal white blood cells called lymphoplasmacytic cells in the bone marrow and overproduction of a protein called IgM. These mutations are acquired during a person's lifetime and are present only in the abnormal white blood cells. This type of genetic change, called a somatic mutation, is not inherited. Waldenström macroglobulinemia is thought to result from multiple genetic changes, one of which can be a CXCR4 gene mutation.CXCR4 gene mutations involved in Waldenström macroglobulinemia lead to production of an abnormally short CXCR4 protein that cannot be internalized, prolonging signaling activated by the protein. This signaling leads to enhanced survival and proliferation of cells containing the abnormal protein, which may contribute to the abundance of lymphoplasmacytic cells characteristic of Waldenström macroglobulinemia. "
CYB5R3 ,cytochrome b5 reductase 3,"The CYB5R3 gene provides instruction for making an enzyme called cytochrome b5 reductase 3. This enzyme is involved in transferring negatively charged particles called electrons from one molecule to another. Two versions (isoforms) of this enzyme are produced from the CYB5R3 gene. The soluble isoform is present only in red blood cells, and the membrane-bound isoform is found in all other cell types.Normal red blood cells contain molecules of iron-containing hemoglobin, which deliver oxygen to the body's tissues. The iron in hemoglobin is ferrous (Fe2+), but it can spontaneously become ferric (Fe3+). Hemoglobin that contains ferric iron is called methemoglobin, and it cannot deliver oxygen. The soluble isoform of cytochrome b5 reductase 3 changes ferric iron back to ferrous iron so hemoglobin can function. Normally, red blood cells contain less than 2 percent methemoglobin.The membrane-bound isoform is embedded in the membranes of various cellular compartments and is widely used in the body. This isoform is necessary for many chemical reactions, including the breakdown and formation of fatty acids, the formation of cholesterol, and the breakdown of various molecules and drugs.","Autosomal recessive congenital methemoglobinemia More than 65 mutations in the CYB5R3 gene have been found to cause autosomal recessive congenital methemoglobinemia types I and II. Most of these CYB5R3 gene mutations cause autosomal recessive congenital methemoglobinemia type I, which is characterized by a lack of oxygen in the body's tissues and bluish appearance of the skin, lips, and nails (cyanosis). The mutations that cause type I usually reduce enzyme activity or stability. As a result, the enzyme cannot efficiently change ferric iron to ferrous iron, leading to a 10 to 50 percent increase in methemoglobin within red blood cells. This increase in methemoglobin and corresponding decrease in normal hemoglobin reduces the amount of oxygen delivered to tissues. The altered enzyme activity affects only red blood cells because other cells can compensate for a decrease in enzyme activity, but red blood cells cannot.The CYB5R3 gene mutations that cause autosomal recessive congenital methemoglobinemia type II result in the more severe form of the two types. In addition to cyanosis, people with this form have neurological problems. The mutations that cause type II typically result in a complete loss of enzyme activity. Cells cannot compensate for a complete loss of cytochrome b5 reductase 3, which results in a 10 to 70 percent increase in methemoglobin within red blood cells. This increase in methemoglobin and corresponding decrease in normal hemoglobin leads to cyanosis. The lack of enzyme activity in other cells leads to the neurological features associated with type II. Researchers suspect that the neurological problems are caused by impaired fatty acid and cholesterol formation, which reduces the production of a fatty substance called myelin. Myelin insulates nerve cells and promotes the rapid transmission of nerve impulses. This reduced ability to form myelin (hypomyelination) leads to a loss of nerve cells, particularly in the brain. The loss of these cells likely contributes to the encephalopathy and movement disorders characteristic of autosomal recessive congenital methemoglobinemia type II. "
CYBA ,cytochrome b-245 alpha chain,"The CYBA gene provides instructions for making a protein called the cytochrome b-245 alpha chain (also known as p22-phox). This protein is one part (subunit) of a group of proteins that forms an enzyme complex called NADPH oxidase, which plays an essential role in the immune system. Within this complex, the cytochrome b-245 alpha chain has a beta chain partner (produced from the CYBB gene). Both alpha and beta chains are required for either to function, and the NADPH oxidase complex requires both chains in order to be functional. NADPH oxidase is primarily active in immune system cells called phagocytes. These cells catch and destroy foreign invaders such as bacteria and fungi. NADPH oxidase is also thought to regulate the activity of immune cells called neutrophils. These cells play a role in adjusting the inflammatory response to optimize healing and reduce injury to the body.The presence of foreign invaders stimulates phagocytes and triggers the assembly of NADPH oxidase. This enzyme participates in a chemical reaction that converts oxygen to a toxic molecule called superoxide. Superoxide is used to generate several other compounds, including hydrogen peroxide (a strong disinfectant) and hypochlorous acid (the active ingredient in bleach). These highly reactive, toxic substances are known as reactive oxygen species. Phagocytes use these substances to kill foreign invaders, preventing them from reproducing in the body and causing illness.","Chronic granulomatous disease More than 40 mutations in the CYBA gene have been found to cause chronic granulomatous disease. People with this disorder are at increased risk of developing recurrent episodes of infection and inflammation due to a weakened immune system. Mutations in the CYBA gene cause less than 5 percent of all cases of this condition. Most of these mutations change single building blocks of protein (amino acids) in the cytochrome b-245 alpha chain or cause it to be abnormally short and nonfunctional. An altered protein not only diminishes the function of the alpha chain, but the function of its beta chain partner as well. Without these subunits, NADPH oxidase cannot assemble or function properly. As a result, phagocytes are unable to produce reactive oxygen species to kill foreign invaders, and neutrophil activity is not regulated. A lack of NADPH oxidase leaves affected individuals vulnerable to many types of infection and excessive inflammation. "
CYBB ,cytochrome b-245 beta chain,"The CYBB gene provides instructions for making a protein called cytochrome b-245, beta chain (also known as p91-phox). This protein is one part (subunit) of a group of proteins that forms an enzyme complex called NADPH oxidase, which plays an essential role in the immune system. Within this complex, the cytochrome b-245, beta chain has an alpha chain partner (produced from the CYBA gene). Both alpha and beta chains are required for either to function and the NADPH oxidase complex requires both chains in order to be functional. NADPH oxidase is primarily active in immune system cells called phagocytes. These cells catch and destroy foreign invaders such as bacteria and fungi. NADPH oxidase is also thought to regulate the activity of immune cells called neutrophils. These cells play a role in adjusting the inflammatory response to optimize healing and reduce injury to the body.The presence of foreign invaders stimulates phagocytes and triggers the assembly of NADPH oxidase. This enzyme participates in a chemical reaction that converts oxygen to a toxic molecule called superoxide. Superoxide is used to generate several other compounds, including hydrogen peroxide (a strong disinfectant) and hypochlorous acid (the active ingredient in bleach). These highly reactive, toxic substances are known as reactive oxygen species. Phagocytes use these substances to kill foreign invaders, preventing them from reproducing in the body and causing illness.","Chronic granulomatous disease More than 650 mutations in the CYBB gene have been found to cause chronic granulomatous disease. People with this disorder are at increased risk of developing recurrent episodes of infection and inflammation due to a weakened immune system. Mutations in the CYBB gene cause approximately 70 percent of all cases of this condition. Most of these mutations change single building blocks of protein (amino acids) in the cytochrome b-245 beta chain or cause it to be abnormally short and nonfunctional. An altered protein not only diminishes the function of the beta chain, but the function of its alpha chain partner as well. Without these subunits, NADPH oxidase cannot assemble or function properly. As a result, phagocytes are unable to produce reactive oxygen species to kill foreign invaders, and neutrophil activity is not regulated. A lack of NADPH oxidase leaves affected individuals vulnerable to many types of infection and excessive inflammation. "
CYLD ,CYLD lysine 63 deubiquitinase,"The CYLD gene provides instructions for making a protein that helps regulate nuclear factor-kappa-B. Nuclear factor-kappa-B is a group of related proteins that help protect cells from self-destruction (apoptosis) in response to certain signals. In regulating the action of nuclear factor-kappa-B, the CYLD protein allows cells to respond properly to signals to self-destruct when appropriate, such as when the cells become abnormal. By this mechanism, the CYLD protein acts as a tumor suppressor, which means that it helps prevent cells from growing and dividing too fast or in an uncontrolled way.","Brooke-Spiegler syndrome At least 20 CYLD gene mutations have been identified in individuals with Brooke-Spiegler syndrome. This condition is characterized by multiple noncancerous (benign) tumors that develop in structures associated with the skin (skin appendages), such as sweat glands and hair follicles. People with Brooke-Spiegler syndrome may develop several types of skin appendage tumors, including growths called spiradenomas, trichoepitheliomas, and cylindromas. Spiradenomas are tumors of the sweat glands. Trichoepitheliomas arise from the hair follicles. While previously thought to derive from sweat glands, cylindromas are now generally believed to begin in hair follicles.People with Brooke-Spiegler syndrome are born with a mutation in one of the two copies of the CYLD gene in each cell. This mutation prevents the cell from making functional CYLD protein from the altered copy of the gene. However, enough protein is usually produced from the other, normal copy of the gene to regulate cell growth effectively. For tumors to develop, a second mutation or deletion of genetic material involving the other copy of the CYLD gene must occur in certain cells during a person's lifetime. These genetic changes are called somatic mutations and are not inherited.When both copies of the CYLD gene are mutated in a particular cell, that cell cannot produce any functional CYLD protein. The loss of this protein impairs the regulation of nuclear factor-kappa-B, allowing the cell to grow and divide in an uncontrolled way to form a tumor. In people with Brooke-Spiegler syndrome, second CYLD mutations typically occur in different types of cells in the skin over an affected person's lifetime, leading to the growth of multiple types of skin appendage tumors. "
CYP1B1 ,cytochrome P450 family 1 subfamily B member 1,"The CYP1B1 gene provides instructions for producing an enzyme that is a member of the cytochrome P450 family of enzymes. These enzymes are involved in many processes in the body, such as assisting with reactions that break down drugs and produce certain fats (lipids). The CYP1B1 enzyme participates in biochemical reactions in which an oxygen atom is added to other molecules.The CYP1B1 enzyme is active in many tissues, including structures of the eye. The function of the CYP1B1 enzyme in the development of the eye is unclear, but it may play a role in forming structures at the front of the eye and may also be involved in a process that regulates the secretion of fluid inside the eye.","Early-onset glaucoma More than 140 CYP1B1 gene mutations have been identified to cause early-onset glaucoma. People with this condition experience increased pressure within the eye before the age of 40. This pressure causes damage to the optic nerves connecting the eyes and the brain. Between 20 percent and 40 percent of people with glaucoma before the age of 5 (primary congenital glaucoma) have mutations in the CYP1B1 gene. The mutations that cause early-onset glaucoma may result in an enzyme that is unstable or the wrong shape.It is not well understood how defects in the CYP1B1 enzyme cause signs and symptoms of glaucoma. Recent studies suggest that the defects may interfere with the early development of the trabecular meshwork, which is a network of mesh-like canals that helps drain excess fluid from the eye. If fluid cannot be drained, pressure inside the eye may increase, which is characteristic of glaucoma.The CYP1B1 enzyme may interact with another protein called myocilin, which is produced from the MYOC gene. Individuals with mutations in both the MYOC and CYP1B1 genes may develop glaucoma at an earlier age and have more severe symptoms than do those with mutations in only one of the genes. "
CYP2C9 ,cytochrome P450 family 2 subfamily C member 9,"The CYP2C9 gene provides instructions for making an enzyme that is found in a cell structure called the endoplasmic reticulum, which is involved in protein processing and transport. The CYP2C9 enzyme breaks down (metabolizes) compounds including steroid hormones and fatty acids. The CYP2C9 enzyme also plays a major role in breaking down the drug warfarin, which thins the blood and prevents blood clots from forming. This enzyme also assists in metabolizing other drugs such as ibuprofen, which reduces inflammation.","Warfarin sensitivity Certain common CYP2C9 gene variations (polymorphisms) have been associated with warfarin sensitivity, a condition in which individuals require lower doses of the drug warfarin than are usually prescribed. Warfarin is an anticoagulant, which means that it thins the blood, preventing blood clots from forming.The CYP2C9 gene polymorphisms associated with warfarin sensitivity change single protein building blocks (amino acids) in the CYP2C9 enzyme. The altered enzyme slows the breakdown (metabolism) of warfarin, allowing the drug to remain active in the body for a longer period of time. People with warfarin sensitivity take longer than usual to metabolize warfarin and may require lower doses of the drug than are usually prescribed.The two most common CYP2C9 polymorphisms in people of European ancestry are known as CYP2C9*2 and CYP2C9*3. Both of these polymorphisms lead to a decrease in warfarin metabolism to such degrees that prescription doses are typically reduced by one-third and one-fifth, respectively. In individuals with African ancestry, the four most common CYP2C9 polymorphisms associated with warfarin sensitivity are known as CYP2C9*5, CYP2C9*6, CYP2C9*8, and CYP2C9*11. These polymorphisms lead to a decrease in warfarin metabolism that would necessitate a reduction in prescription doses by one-third to one-sixth. In other populations, the effects of these polymorphisms are less certain but are an active area of research.In rare cases in which individuals have more than one CYP2C9 polymorphisms, the enzyme activity is severely decreased and metabolism of warfarin is very slow. If people with warfarin sensitivity take the average dose (or more) of warfarin, they are at risk of an overdose, which can cause abnormal bleeding in the brain, gastrointestinal tract, or other tissues, and may lead to serious health problems or death. "
CYP2C19 ,cytochrome P450 family 2 subfamily C member 19,"The CYP2C19 gene is a member of the cytochrome P450 gene family. Enzymes produced from cytochrome P450 genes are involved in the formation and breakdown (metabolism) of various molecules and chemicals within cells. The CYP2C19 gene provides instructions for making an enzyme that is found primarily in liver cells in a cell structure called the endoplasmic reticulum, which is involved in protein processing and transport.The CYP2C19 enzyme plays a role in the processing or metabolizing of at least 10 percent of commonly prescribed drugs, including a drug called clopidogrel (also known as Plavix). Clopidogrel is an antiplatelet drug, which means that it prevents blood cells called platelets from sticking together (aggregating) and forming blood clots. The CYP2C19 enzyme converts clopidogrel to its active form, which is necessary for the drug to function in the body. The active drug then stops (inhibits) a receptor protein known as P2RY12 that is found on the surface of platelets. During clot formation, the P2RY12 receptor protein helps platelets cluster together to form a clot in order to seal off damaged blood vessels and prevent blood loss.","Clopidogrel resistance Multiple variations (polymorphisms) in the CYP2C19 gene have been associated with clopidogrel resistance, a condition in which the drug clopidogrel is less effective than normal in people who are treated with it. The polymorphisms that are associated with clopidogrel resistance decrease the enzyme's ability to convert the drug to its active form.The normal version of the gene, written as CYP2C19*1, provides instructions for producing a normally functioning CYP2C19 enzyme. If a person has two copies of the CYP2C19*1 version of the gene in each cell, they are able to convert clopidogrel normally. The two most common CYP2C19 gene polymorphisms associated with clopidogrel resistance (known as CYP2C19*2 and CYP2C19*3) result in the production of a nonfunctional CYP2C19 enzyme that is unable to activate clopidogrel.Individuals with clopidogrel resistance can be classified into two groups: intermediate metabolizers or poor metabolizers. People who have one copy of the CYP2C19*1 version of the gene and one copy of either the CYP2C19*2 or CYP2C19*3 version of the gene have a reduced ability to convert clopidogrel to its active form and are classified as intermediate metabolizers. People who have the CYP2C19*2 or CYP2C19*3 versions of the gene for both copies of the gene can convert very little or none of the drug and are classified as poor metabolizers. Because conversion of clopidogrel to its active form is impaired in people with clopidogrel resistance, the drug is unable to inhibit P2RY12 receptor function. Without active clopidogrel to interfere, the P2RY12 receptor continues to promote platelet aggregation and blood clot formation, which can lead to heart attacks, strokes, and thromboses in individuals with a history of these conditions.It is important to note that not all individuals with CYP2C19 gene mutations have clopidogrel resistance. These individuals who are at increased risk for developing clopidogrel resistance may or may not have a bad reaction when treated with the drug. In addition to changes in specific genes, many other factors, including gender, age, weight, diet, and other medications, play a role in how the body reacts to clopidogrel. "
CYP2R1 ,cytochrome P450 family 2 subfamily R member 1,"The CYP2R1 gene provides instructions for making an enzyme called 25-hydroxylase. This enzyme carries out the first of two reactions to convert vitamin D to its active form, 1,25-dihydroxyvitamin D3, also known as calcitriol. Vitamin D can be acquired from foods in the diet or can be made in the body with the help of sunlight exposure. When active, this vitamin is involved in maintaining the proper balance of several minerals in the body, including calcium and phosphate, which are essential for the normal formation of bones and teeth. One of vitamin D's major roles is to control the absorption of calcium and phosphate from the intestines into the bloodstream. Vitamin D is also involved in several processes unrelated to bone and tooth formation.","Vitamin D-dependent rickets At least four mutations in the CYP2R1 gene have been found to cause vitamin D-dependent rickets type 1B (VDDR1B). This disorder of bone development is characterized by low levels of calcium (hypocalcemia) and phosphate (hypophosphatemia) in the blood, which lead to soft, weak bones that are prone to fracture. A common feature of this condition is abnormally curved (bowed) legs.The CYP2R1 gene mutations that cause this condition severely reduce or eliminate the function of 25-hydroxylase. As a result, vitamin D does not get converted to its active form and cannot control mineral absorption. The resulting reduction in calcium and phosphate absorption from the intestines means there is less of these minerals to be deposited in developing bones (bone mineralization), which leads to soft, weak bones and other features of VDDR1B. Hypocalcemia also causes muscle weakness in some affected individuals. "
CYP4V2 ,cytochrome P450 family 4 subfamily V member 2,"The CYP4V2 gene provides instructions for making a member of the cytochrome P450 family of enzymes. These enzymes are involved in the formation and breakdown of various molecules and chemicals within cells. The CYP4V2 enzyme is involved in a multi-step process called fatty acid oxidation in which fats are broken down and converted into energy, but the enzyme's specific function is not well understood.","Bietti crystalline dystrophy At least 42 CYP4V2 gene mutations have been identified in people with Bietti crystalline dystrophy, a disorder in which numerous small, yellow or white crystal-like deposits of fatty (lipid) compounds accumulate in the light-sensitive tissue that lines the back of the eye (the retina). The deposits damage the retina, resulting in progressive vision loss.CYP4V2 gene mutations that cause Bietti crystalline dystrophy are predicted to change the structure of the CYP4V2 enzyme in a way that reduces or eliminates its activity. The mutations likely affect lipid breakdown; however, it is unknown how they lead to the specific signs and symptoms of Bietti crystalline dystrophy. For unknown reasons, the severity of the signs and symptoms differs significantly among individuals with the same CYP4V2 gene mutation. "
CYP7B1 ,cytochrome P450 family 7 subfamily B member 1,"The CYP7B1 gene is a member of the cytochrome P450 gene family. Enzymes produced from cytochrome P450 genes are involved in the formation and breakdown of various molecules and chemicals within cells. The CYP7B1 gene provides instructions for making an enzyme called oxysterol 7-alpha-hydroxylase. This enzyme is produced primarily in the liver and the brain. In the liver, oxysterol 7-alpha-hydroxylase is involved in the pathway that breaks down a waxy, fat-like substance called cholesterol to form a bile acid called chenodeoxycholic acid. Bile acids are a component of a digestive fluid called bile that digests fats.In the brain, oxysterol 7-alpha-hydroxylase is also involved in a pathway that converts cholesterol to hormones called neurosteroids. Neurosteroids increase nerve cell activity (excitability) and promote cell survival and communication between nerve cells. The enzyme primarily converts the neurosteroid dehydroepiandrosterone (DHEA) into 7-hydroxy-DHEA. Oxysterol 7-alpha-hydroxylase helps maintain normal cholesterol levels in the brain and, by producing neurosteroids through altering existing hormones within the pathway, regulates the effects of neurosteroids on the brain.","Spastic paraplegia type 5A At least 37 mutations in the CYP7B1 gene have been found to cause spastic paraplegia type 5A. This condition is characterized by muscle stiffness (spasticity) and severe weakness of the lower limbs (paraplegia), typically beginning in adolescence. Most CYP7B1 gene mutations change single protein building blocks (amino acids) in the oxysterol 7-alpha-hydroxylase enzyme. Such changes reduce the enzyme's activity. Other mutations result in a complete loss of functional enzyme.Reduced oxysterol 7-alpha-hydroxylase enzyme activity does not seem to affect cholesterol breakdown or bile acid production in the liver. Another pathway in the liver can perform these functions, which may explain why reduction of oxysterol 7-alpha-hydroxylase activity does not impact liver function.In the brain, a decrease in enzyme activity results in an accumulation of cholesterol and alters neurosteroid production triggered by oxysterol 7-alpha-hydroxylase. Abnormal levels of neurosteroids impairs cell survival, likely leading to nerve cell death. The abnormal buildup of cholesterol in the brain probably also contributes to the death of nerve cells. The loss of these cells results in the deterioration of nervous system functions (neurodegeneration) and causes the movement problems, weakness, and other signs and symptoms characteristic of spastic paraplegia type 5A. "
CYP11B1 ,cytochrome P450 family 11 subfamily B member 1,"The CYP11B1 gene provides instructions for making an enzyme called 11-beta-hydroxylase. This enzyme is found in the adrenal glands, which are located on top of the kidneys. The 11-beta-hydroxylase enzyme is a member of the cytochrome P450 family of enzymes. These enzymes are involved in the formation and breakdown of various molecules within cells.The 11-beta-hydroxylase enzyme helps produce hormones called cortisol and corticosterone. Specifically, the enzyme helps convert a molecule called 11-deoxycortisol to cortisol, and helps convert another molecule called 11-deoxycorticosterone to corticosterone. These processes are triggered by the release of a hormone called adrenocorticotropic hormone (ACTH) by the pituitary gland, located at the base of the brain.Cortisol helps maintain blood sugar levels, protects the body from physical stress, and suppresses inflammation. Corticosterone is converted to the hormone aldosterone by the aldosterone synthase enzyme, which is produced from the nearby CYP11B2 gene. Aldosterone helps control blood pressure by maintaining proper salt and fluid levels in the body.","Congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency More than 80 mutations in the CYP11B1 gene have been found to cause congenital adrenal hyperplasia (CAH) due to 11-beta-hydroxylase deficiency, a disorder in which the adrenal glands produce excess male sex hormones (androgens). Most of these mutations change single protein building blocks (amino acids) in the 11-beta-hydroxylase enzyme and decrease the function of the enzyme. CYP11B1 gene mutations that severely reduce or eliminate the function of the enzyme typically result in the classic form of CAH due to 11-beta-hydroxylase deficiency. Mutations that allow for some enzyme function usually result in the non-classic form of the disorder.Some mutations that cause the classic form of CAH due to 11-beta-hydroxylase deficiency fuse sections of the CYP11B1 gene with sections of a nearby gene called CYP11B2. The added part of the CYP11B2 gene contains a section called a promoter region, which normally controls (regulates) production of the protein made by the CYP11B2 gene. As a result, the CYP11B1 gene is regulated by the CYP11B2 gene promoter region rather than its own promoter region. In addition, the fusion typically deletes parts of the CYP11B1 gene. These changes in the gene's regulation and structure diminish production of 11-beta-hydroxylase.Both types of CAH due to 11-beta-hydroxylase deficiency interfere with the production of cortisol and corticosterone. The molecules that are used to form these hormones instead build up in the adrenal gland and are converted to androgens. The excess production of androgens leads to abnormalities of sexual development in people with CAH due to 11-beta-hydroxylase deficiency. A buildup of the molecule 11-deoxycorticosterone, the substance that 11-beta-hydroxylase converts to form corticosterone, increases salt retention, leading to high blood pressure (hypertension) in individuals with the classic form of CAH due to 11-beta-hydroxylase deficiency. "
CYP11B2 ,cytochrome P450 family 11 subfamily B member 2,"The CYP11B2 gene provides instructions for making an enzyme called aldosterone synthase (previously known as corticosterone methyloxidase). This enzyme is found in the adrenal glands, which are located on top of the kidneys. Aldosterone synthase is a member of the cytochrome P450 family of enzymes. These enzymes are involved in the formation and breakdown of various molecules within cells.Aldosterone synthase helps produce a hormone called aldosterone. Aldosterone helps control blood pressure by maintaining proper salt and fluid levels in the body. The aldosterone synthase enzyme is involved in a series of three chemical reactions that produce aldosterone from other (precursor) molecules: the conversion of 11-deoxycorticosterone to corticosterone, the conversion of corticosterone to 18-hydroxycorticosterone, and the conversion of 18-hydroxycorticosterone to aldosterone.","Corticosterone methyloxidase deficiency At least 30 CYP11B2 gene mutations that cause corticosterone methyloxidase deficiency (also known as aldosterone synthase deficiency) have been identified. These mutations lead to insufficient production of aldosterone, which impairs the kidneys' ability to reabsorb salt (sodium chloride or NaCl) into the blood and release potassium in the urine. As a result, excessive amounts of salt in the form of charged atoms (ions) of sodium (Na+) and chlorine (Cl-) leave the body in the urine, while not enough potassium is released. The resulting imbalance of ions in the body underlies the signs and symptoms of this disorder, which include nausea, vomiting, dehydration, low blood pressure, extreme tiredness (fatigue), and muscle weakness. "
CYP17A1 ,cytochrome P450 family 17 subfamily A member 1,"The CYP17A1 gene provides instructions for making a member of the cytochrome P450 enzyme family. Like other cytochrome P450 enzymes, CYP17A1 is involved in the formation (synthesis) of steroid hormones. This group of hormones includes sex hormones such as testosterone and estrogen, which are needed for normal sexual development and reproduction; mineralocorticoids, which help regulate the body's salt and water balance; and glucocorticoids, which are involved in maintaining blood sugar levels and regulating the body's response to stress.Steroid hormones are synthesized through a series of chemical reactions. The CYP17A1 enzyme performs two important reactions in this process. The enzyme has 17 alpha(α)-hydroxylase activity, converting pregnenalone to 17-hydroxypregnenolone and progesterone to 17-hydroxyprogesterone. These hormone precursors are further processed to produce glucocorticoids and sex hormones. CYP17A1 also has 17,20-lyase activity, which converts 17-hydroxypregnenolone to dehydroepiandrosterone (DHEA). This reaction is integral to the production of sex hormones.","17 alpha-hydroxylase/17,20-lyase deficiency Dozens of mutations in the CYP17A1 gene have been found to cause 17α-hydroxylase/17,20-lyase deficiency. This condition affects the function of certain hormone-producing glands, leading to high blood pressure (hypertension) and abnormal sexual development. Mutations associated with this condition reduce or eliminate both 17α-hydroxylase and 17,20-lyase activity. Reduction of these activities leads to partial 17α-hydroxylase/17,20-lyase deficiency, while total loss of these activities leads to the more severe form of the disorder known as complete 17α-hydroxylase/17,20-lyase deficiency.Without 17α-hydroxylase activity, pregnenolone and progesterone are not converted to 17-hydroxypregnenolone or 17-hydroxyprogesterone, impairing production of glucocorticoids. Instead pregnenolone and progesterone are processed to form mineralocorticoids. An excess of these salt-regulating hormones leads to hypertension and low levels of potassium in the blood (hypokalemia).A loss of 17,20-lyase activity impairs sex hormone production. In females, a lack of female sex hormones disrupts development of internal reproductive organs (the ovaries and uterus) and secondary sex characteristics, such as breasts and menstrual periods. In chromosomal males (individuals with an X and a Y chromosome), a lack of male sex hormones leads to abnormal development of external genitalia. Depending on the severity of the condition, these affected individuals can have abnormal male genitalia, genitalia that do not look clearly male or clearly female (ambiguous genitalia), or characteristically female genitalia. "
